,names,main_category,keywords,ratings
173,평화의 소녀상,랜드마크,기념비 및 동상,5.0
174,제주항공우주박물관,랜드마크,"전문 박물관, 과학박물관, 어린이 박물관",4.6484375
175,해양드라마세트장,랜드마크,즐길거리 & 랜드마크,4.48
176,도림사,랜드마크,"신성한 & 종교적인 장소, 경관이 좋은 산책로",5.0
177,실학 박물관,랜드마크,역사박물관,4.35
178,부산대교,랜드마크,"건축물, 브리지",4.235294117647059
179,팔당전망대,랜드마크,즐길거리 & 랜드마크,4.5
180,산방굴사,랜드마크,신성한 & 종교적인 장소,4.5602409638554215
181,코리아 플라워 파크,랜드마크,"공원, 가든",4.0
182,국립해양생물자원관,랜드마크,과학박물관,4.6
183,비슬산국립공원,랜드마크,"산, 국립공원, 하이킹 트레일",5.0
184,황매산 군립공원,랜드마크,공원,4.666666666666667
185,산청한의학박물관,랜드마크,전문 박물관,5.0
186,부산 해양자연사 박물관,랜드마크,자연사 박물관,4.45
187,북악산 서울 성곽,랜드마크,즐길거리 & 랜드마크,4.7025316455696204
188,평화의 소녀상,랜드마크,기념비 및 동상,5.0
189,국립수산과학원,랜드마크,과학박물관,4.45
